similarity_score,sample_id,report_length,summary_length,processing_time
0.9503476023674011,972118,15281,3737,0.0012785506248474121
0.8494939208030701,899072,34791,4779,0.0012785506248474121
0.9366579055786133,62990,49978,3203,0.0012785506248474121
0.9317487478256226,970757,11878,4062,0.0012785506248474121
0.7534667253494263,120431,47331,4060,0.0012785506248474121
0.8712045550346375,531670,41047,3571,0.0012785506248474121
0.943988561630249,102245,22961,3334,0.0012785506248474121
0.9465129375457764,887317,18559,3712,0.0012785506248474121
0.8415245413780212,683171,45955,4401,0.0012785506248474121
0.8666013479232788,330363,47361,4035,0.0012785506248474121
0.935286283493042,124057,25541,3088,0.0012785506248474121
0.821628212928772,958908,44935,4747,0.0012785506248474121
0.8232402801513672,687907,30646,4546,0.0012785506248474121
0.8972747325897217,887466,35786,4040,0.0012785506248474121
0.8302513360977173,59621,34997,3669,0.0012785506248474121
0.8813913464546204,970154,33667,3686,0.0012785506248474121
0.9410461783409119,769128,14620,1906,0.0012785506248474121
0.9307347536087036,772333,24350,3358,0.0012785506248474121
0.8829994201660156,616700,33734,3752,0.0012785506248474121
0.9175559282302856,436804,24881,3788,0.0012785506248474121
0.9193832278251648,911730,49872,4218,0.0012785506248474121
0.9186699390411377,721863,39954,3499,0.0012785506248474121
0.8641980886459351,454645,20716,3364,0.0012785506248474121
0.9062159061431885,306198,41702,3448,0.0012785506248474121
0.9378911256790161,812918,14770,3697,0.0012785506248474121
0.845929741859436,87870,32313,3862,0.0012785506248474121
0.8641730546951294,723890,21073,3558,0.0012785506248474121
0.8841296434402466,480101,39117,3492,0.0012785506248474121
0.9009268879890442,196285,21504,3325,0.0012785506248474121
0.9184359312057495,962095,29383,3691,0.0012785506248474121
0.8697503805160522,973828,28259,3952,0.0012785506248474121
0.8353907465934753,167346,40027,3138,0.0012785506248474121
0.8928807973861694,110450,38411,3599,0.0012785506248474121
0.9057645201683044,654105,18154,4335,0.0012785506248474121
0.927754282951355,471788,30319,3133,0.0012785506248474121
0.8727489113807678,471805,34490,3822,0.0012785506248474121
0.9286870956420898,991788,41701,3983,0.0012785506248474121
0.9205948710441589,198237,33894,4550,0.0012785506248474121
0.9424092769622803,899531,25690,3870,0.0012785506248474121
0.8793907165527344,283034,25390,4789,0.0012785506248474121
0.9123829007148743,368028,14030,4310,0.0012785506248474121
0.921230137348175,465090,11902,3567,0.0012785506248474121
0.9495978355407715,217915,29316,3913,0.0012785506248474121
0.9223761558532715,804340,38811,3903,0.0012785506248474121
0.9044480323791504,93923,29598,3166,0.0012785506248474121
0.9214314222335815,414271,32833,3591,0.0012785506248474121
0.880485475063324,101477,35539,3653,0.0012785506248474121
0.902397096157074,549828,13976,3490,0.0012785506248474121
0.8758507370948792,417188,49283,3207,0.0012785506248474121
0.9140409827232361,452590,27723,4321,0.0012785506248474121
0.8670808672904968,202030,22346,4125,0.0012785506248474121
0.8976424932479858,83494,39948,2957,0.0012785506248474121
0.8839595317840576,952545,29797,3807,0.0012785506248474121
0.9323912858963013,833510,49335,3393,0.0012785506248474121
0.8334898352622986,592489,44647,2944,0.0012785506248474121
0.9092819094657898,868372,44212,3919,0.0012785506248474121
0.8312489986419678,940976,49858,4148,0.0012785506248474121
0.8372120261192322,902472,37289,3105,0.0012785506248474121
0.8123971223831177,233238,31269,3642,0.0012785506248474121
0.9241114854812622,266807,30025,3316,0.0012785506248474121
0.9000161290168762,593441,40910,3643,0.0012785506248474121
0.8951902985572815,725995,33732,3487,0.0012785506248474121
0.9173207879066467,489139,15855,4178,0.0012785506248474121
0.8352837562561035,344576,46471,3105,0.0012785506248474121
0.8893157839775085,343555,17570,3525,0.0012785506248474121
0.8892648220062256,707965,13195,2787,0.0012785506248474121
0.9160693287849426,301723,16293,3215,0.0012785506248474121
0.8857823014259338,851978,23485,4844,0.0012785506248474121
0.8369839787483215,679661,27582,3591,0.0012785506248474121
0.901885986328125,150895,18106,4375,0.0012785506248474121
0.8636285662651062,729120,40287,3827,0.0012785506248474121
0.9289751648902893,953309,30546,3320,0.0012785506248474121
0.9244537949562073,19946,36556,4821,0.0012785506248474121
0.8490074276924133,944454,38579,3747,0.0012785506248474121
0.8627188801765442,173464,25812,3180,0.0012785506248474121
0.8972158432006836,432163,26441,4457,0.0012785506248474121
0.8896827697753906,748055,38164,3688,0.0012785506248474121
0.7948648929595947,807524,40822,3764,0.0012785506248474121
0.8855768442153931,562020,47955,3729,0.0012785506248474121
0.8254126310348511,126917,39640,3377,0.0012785506248474121
0.8210585117340088,729142,37321,3683,0.0012785506248474121
0.858765721321106,152044,19493,2111,0.0012785506248474121
0.8951817154884338,379270,30858,3640,0.0012785506248474121
0.8951679468154907,927431,15819,3544,0.0012785506248474121
0.8775507807731628,923672,43346,4104,0.0012785506248474121
